Distance,Speed,Throttle,Brake,nGear,RPM,X,Y,Z,t,lap
1030.722237100747,92.23750000000001,0.0,0.0,3.0,6507.515625,5726.50683011877,4737.86591967381,2064.5492496419542,16.42,0
1031.2205704340809,91.98750000000001,0.0,0.0,3.0,6484.078125,5731.678570993768,4736.992430050775,2064.593658544225,16.44,0
1031.7189037674136,91.73750000000001,0.0,0.0,3.0,6460.640625000001,5736.850311868766,4736.118940427739,2064.6380674464954,16.46,0
1032.217237100747,91.48750000000001,0.0,0.0,3.0,6437.203125000001,5742.022052743764,4735.245450804704,2064.6824763487657,16.48,0
1032.7155704340805,91.23750000000001,0.0,0.0,3.0,6413.765625000002,5747.193793618761,4734.371961181668,2064.7268852510365,16.5,0
1033.2139037674137,90.98750000000001,0.0,0.0,3.0,6390.328125000002,5752.36553449376,4733.498471558632,2064.771294153307,16.52,0
1033.7122371007472,90.73750000000001,0.0,0.0,3.0,6366.890625000003,5757.537275368758,4732.624981935597,2064.8157030555776,16.54,0
1034.2105704340804,90.48750000000004,0.0,0.0,3.0,6343.453125000003,5762.709016243755,4731.751492312562,2064.860111957848,16.56,0
1034.7089037674139,90.23750000000001,0.0,0.0,3.0,6320.015624999999,5767.880757118754,4730.8780026895265,2064.9045208601183,16.580000000000002,0
1035.2072371007473,89.98750000000001,0.0,0.0,3.0,6296.578125,5773.052497993753,4730.004513066491,2064.948929762389,16.6,0
1035.7055704340805,89.73750000000001,0.0,0.0,3.0,6273.140625,5778.22423886875,4729.131023443455,2064.9933386646594,16.62,0
1036.200598211858,89.48750000000001,0.0,0.0,3.0,6249.703125,5785.276195612118,4730.201422407375,2064.9523676263957,16.64,0
1036.695042656303,89.23750000000001,0.0,0.0,3.0,6226.265624999999,5792.659955155786,4731.614860533698,2064.8963295398025,16.66,0
1037.1891617039219,88.99285714285713,0.0,0.0,3.0,6204.05,5800.048462534939,4733.073738785695,2064.8379525443834,16.68,0
1037.6770982118583,88.85,0.0,0.0,3.0,6205.05,5807.52717878832,4735.395979425488,2064.7351362812688,16.7,0
1038.1650347197947,88.70714285714286,0.0,0.0,3.0,6206.05,5815.005895041702,4737.71822006528,2064.632320018154,16.72,0
1038.6529712277313,88.56428571428569,0.0,0.0,3.0,6207.05,5822.484611295085,4740.040460705071,2064.52950375504,16.740000000000002,0
